Molecular_Weight,Polar_Area,Complexity,XLogP,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,SMILES
-0.7551098116649738,-0.5125536379032617,-0.5870308925266834,1.3,-0.3688454880429324,-0.6019105985081347,-0.5612264236382299,COC1=CC=CC=C1O
-0.6222104304116713,-0.29890201540368294,-0.47863777458271317,0.3,-0.16425825101620534,-0.47753987588675206,-0.38136879734008106,C1=CC=C(C=C1)C(=O)NCC(=O)O
-0.769720773987025,-0.2514238770704433,-0.5680145560452852,0.1,-0.16425825101620534,-0.35316915326536946,-0.4712976104891555,CC(C(=O)O)C(=O)O
-0.6026244957948391,-0.29427000190775715,-0.5442441354435372,-0.8,0.04032898601052175,-0.47753987588675206,0.06827526840529108,CC(=O)NCCCNCCCCN
-0.7043457739774502,-0.09277741483498374,-0.5328343335546983,-1.5,0.04032898601052175,-0.47753987588675206,-0.29143998419100664,C(CC(=O)O)CN=C(N)N
-0.5570527835606066,0.08092309126223472,-0.4082773296015395,-1.4,0.24491622303724883,0.019943014598778355,-0.20151117104193222,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
-0.7310802124741623,-0.1344655362983162,-0.5432933186194674,-1.3,0.04032898601052175,-0.22879843064398686,-0.38136879734008106,C(C(C(=O)O)O)C(=O)O
-0.7167349040125118,-0.1344655362983162,-0.5394900513231877,-2.0,0.04032898601052175,-0.22879843064398686,-0.4712976104891555,C(C(=O)O)P(=O)(O)O
-0.6488241171536556,-0.23289582308673998,-0.5062114624807407,0.5,0.04032898601052175,-0.35316915326536946,-0.4712976104891555,C1=CC(=C(C=C1CC(=O)O)O)O
-0.6367006409789949,0.005652871953440052,-0.4681787895179441,-1.6,0.04032898601052175,-0.35316915326536946,-0.20151117104193222,C(CC(=O)C(=O)O)CN=C(N)N
-0.7646975009903527,-0.32090407950933064,-0.6063324740553027,0.4,-0.3688454880429324,-0.47753987588675206,-0.38136879734008106,CSCCC(=O)O
-0.7381321149502597,-0.31685106770039556,-0.5869358108442764,-3.0,-0.16425825101620534,-0.47753987588675206,-0.20151117104193222,C(CCC(=O)O)CCN
-0.6127193424900745,-0.11535848062762218,-0.5081130961288806,-2.2,0.04032898601052175,-0.22879843064398686,-0.29143998419100664,C(CN(C=O)O)CP(=O)(O)O
-0.6607785408716976,-0.2931119985337757,-0.525227798962139,0.4,0.04032898601052175,-0.35316915326536946,-0.38136879734008106,CC(=O)NC(CS)C(=O)O
-0.7382287163540419,-0.1599416105259082,-0.5385392344991178,-1.2,0.04032898601052175,-0.47753987588675206,-0.38136879734008106,CN(CC(=O)O)C(=N)N
-0.781723498406958,-0.34348514530196905,-0.5223753484899293,-1.8,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CN1CC(=O)N=C1N
-0.786601869297957,-0.29253299684678497,-0.5043098288326009,-1.7,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,C1=C(NC(=O)N=C1)N
-0.71149427785733,-0.31395605926544196,-0.5537523036842364,-0.6,-0.16425825101620534,-0.35316915326536946,-0.4712976104891555,C(CS(=O)(=O)O)S
-0.8397567917290888,-0.31685106770039556,-0.6071882091969656,-3.0,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,CC(C(=O)O)N
-0.6995881548411791,-0.09856743170489103,-0.5280802494343487,-3.7,0.04032898601052175,-0.22879843064398686,-0.29143998419100664,C(CC(=O)O)C(C(=O)O)N
